CALL  LAT     LON      ELEV(M) BEGIN    END
EGTI  +51.683 -000.417 +0102.0 19730101 19950409
EGMK  +51.150 +000.883 +0107.0 19730101 19741221
EGMH  +51.350 +001.333 +0050.0 19300228 20171126
EGMH  +51.342 +001.346 +0054.3 20000101 20071231
EGHE  +49.917 -006.300 +0031.0 19860101 20171126
EGHE  +49.933 -006.300 +0051.0 19260101 20021106
EGHC  +50.064 -005.709 +0063.0 19730308 20171125
EGDR  +50.086 -005.256 +0081.4 19730101 20171126
EGDG  +50.433 -005.000 +0118.9 19730101 20081201
EGDB  +50.350 -004.117 +0027.0 19730101 20171126
EGHD  +50.423 -004.106 +0145.1 19880318 20111223
EGTE  +50.734 -003.414 +0031.1 19730101 20171126
EGDY  +51.009 -002.639 +0022.9 19730101 20171126
EGDP  +50.567 -002.450 +0003.0 19730108 20021220
EGHH  +50.780 -001.843 +0011.6 19730101 20171126
EGHI  +50.950 -001.357 +0013.4 19730101 20171126
EGKA  +50.836 -000.297 +0002.1 19861201 20171126
EGMD  +50.956 +000.939 +0004.0 19880105 20171126
EGJA  +49.706 -002.215 +0088.4 19870629 20171126
EGJB  +49.435 -002.602 +0102.4 19291001 20171126
EGJJ  +49.208 -002.196 +0084.4 19730101 20171126
EGAE  +55.043 -007.161 +0006.7 19900424 20171126
EGXF  +53.850 -006.100 +0015.0 19950210 19980331
EGAA  +54.658 -006.216 +0081.7 19300228 20171126
EGAC  +54.618 -005.873 +0004.6 19730101 20171126
EICK  +51.841 -008.491 +0153.0 19730101 20171126
EINN  +52.702 -008.925 +0014.0 19730101 20171126
EIME  +53.302 -006.451 +0097.2 19870201 20171126
EIDB  +53.433 -006.250 +0068.0 20160414 20160624
EIDW  +53.421 -006.270 +0073.8 19730101 20171126
EIKN  +53.910 -008.818 +0202.7 19291001 20171126
BIST  +65.083 -022.733 +0008.0 19730101 20171126
BIIS  +66.058 -023.135 +0002.4 20090403 20171126
BIKF  +63.967 -022.600 +0052.1 19421001 20171126
BIRK  +64.130 -021.941 +0014.6 19310101 20171126
BIVM  +63.424 -020.279 +0099.4 19310103 20171126
BIAR  +65.660 -018.073 +0001.8 19310103 20171126
BIGR  +66.533 -018.017 +0016.0 19130101 20170731
BIBD  +65.641 -023.546 +0005.5 20130220 20171126
BIRG  +66.450 -015.950 +0010.0 19490101 20090217
BIHN  +64.296 -015.227 +0007.3 19730101 20171126
BIVO  +65.750 -014.833 +0048.0 19750311 20171126
BIEG  +65.283 -014.401 +0023.2 19490101 20171126
BGTL  +76.531 -068.703 +0076.5 19511101 20171126
BGUM  +70.733 -052.700 +0089.0 20040831 20171126
BGSS  +66.950 -053.733 +0050.0 20040510 20160625
BGUP  +72.770 -056.170 +0063.0 19840901 20060114
BGEM  +68.700 -052.850 +0041.0 19430109 20171126
BGHB  +66.917 -053.667 +0009.0 19490101 20051227
BGSF  +67.017 -050.689 +0050.3 19411201 20171126
BGFH  +62.017 -049.667 +0015.0 19490101 20140115
BGPT  +61.983 -049.700 +0013.0 20080423 20171126
BGGD  +61.233 -048.100 +0032.0 19430202 20051015
BGBW  +61.161 -045.426 +0034.1 19410722 20171126
BGJH  +60.717 -046.050 +0034.0 19360501 20171107
BGNS  +60.900 -045.967 +0030.0 19440613 19490101
BGAS  +59.983 -045.200 +0016.0 19811202 20171126
